Input	Input Type	MGI Gene/Marker ID	MP ID	Term
ADAM17	current symbol	MGI:1096335	MP:0000219	increased neutrophil cell number
ADAM17	current symbol	MGI:1096335	MP:0000240	extramedullary hematopoiesis
ADAM17	current symbol	MGI:1096335	MP:0000274	enlarged heart
ADAM17	current symbol	MGI:1096335	MP:0000285	abnormal heart valve morphology
ADAM17	current symbol	MGI:1096335	MP:0000286	abnormal mitral valve morphology
ADAM17	current symbol	MGI:1096335	MP:0000321	increased bone marrow cell number
ADAM17	current symbol	MGI:1096335	MP:0000352	decreased cell proliferation
ADAM17	current symbol	MGI:1096335	MP:0000367	abnormal coat/ hair morphology
ADAM17	current symbol	MGI:1096335	MP:0000377	abnormal hair follicle morphology
ADAM17	current symbol	MGI:1096335	MP:0000383	abnormal hair follicle orientation
ADAM17	current symbol	MGI:1096335	MP:0000384	distorted hair follicle pattern
ADAM17	current symbol	MGI:1096335	MP:0000410	waved hair
ADAM17	current symbol	MGI:1096335	MP:0000496	abnormal small intestine morphology
ADAM17	current symbol	MGI:1096335	MP:0000689	abnormal spleen morphology
ADAM17	current symbol	MGI:1096335	MP:0000691	enlarged spleen
ADAM17	current symbol	MGI:1096335	MP:0001175	abnormal lung morphology
ADAM17	current symbol	MGI:1096335	MP:0001176	abnormal lung development
ADAM17	current symbol	MGI:1096335	MP:0001178	pulmonary hypoplasia
ADAM17	current symbol	MGI:1096335	MP:0001191	abnormal skin condition
ADAM17	current symbol	MGI:1096335	MP:0001194	dermatitis
ADAM17	current symbol	MGI:1096335	MP:0001216	abnormal epidermal layer morphology
ADAM17	current symbol	MGI:1096335	MP:0001258	decreased body length
ADAM17	current symbol	MGI:1096335	MP:0001260	increased body weight
ADAM17	current symbol	MGI:1096335	MP:0001262	decreased body weight
ADAM17	current symbol	MGI:1096335	MP:0001263	weight loss
ADAM17	current symbol	MGI:1096335	MP:0001265	decreased body size
ADAM17	current symbol	MGI:1096335	MP:0001274	curly vibrissae
ADAM17	current symbol	MGI:1096335	MP:0001282	short vibrissae
ADAM17	current symbol	MGI:1096335	MP:0001293	anophthalmia
ADAM17	current symbol	MGI:1096335	MP:0001297	microphthalmia
ADAM17	current symbol	MGI:1096335	MP:0001302	eyelids open at birth
ADAM17	current symbol	MGI:1096335	MP:0001304	cataract
ADAM17	current symbol	MGI:1096335	MP:0001312	abnormal cornea morphology
ADAM17	current symbol	MGI:1096335	MP:0001313	increased incidence of corneal inflammation
ADAM17	current symbol	MGI:1096335	MP:0001314	corneal opacity
ADAM17	current symbol	MGI:1096335	MP:0001316	corneal scarring
ADAM17	current symbol	MGI:1096335	MP:0001325	abnormal retina morphology
ADAM17	current symbol	MGI:1096335	MP:0001575	cyanosis
ADAM17	current symbol	MGI:1096335	MP:0001614	abnormal blood vessel morphology
ADAM17	current symbol	MGI:1096335	MP:0001634	internal hemorrhage
ADAM17	current symbol	MGI:1096335	MP:0001732	postnatal growth retardation
ADAM17	current symbol	MGI:1096335	MP:0001785	edema
ADAM17	current symbol	MGI:1096335	MP:0001922	reduced male fertility
ADAM17	current symbol	MGI:1096335	MP:0001926	female infertility
ADAM17	current symbol	MGI:1096335	MP:0001953	respiratory failure
ADAM17	current symbol	MGI:1096335	MP:0001954	respiratory distress
ADAM17	current symbol	MGI:1096335	MP:0002060	abnormal skin morphology
ADAM17	current symbol	MGI:1096335	MP:0002073	abnormal hair growth
ADAM17	current symbol	MGI:1096335	MP:0002075	abnormal coat/hair pigmentation
ADAM17	current symbol	MGI:1096335	MP:0002081	perinatal lethality
ADAM17	current symbol	MGI:1096335	MP:0002083	premature death
ADAM17	current symbol	MGI:1096335	MP:0002085	abnormal embryonic tissue morphology
ADAM17	current symbol	MGI:1096335	MP:0002092	abnormal eye morphology
ADAM17	current symbol	MGI:1096335	MP:0002098	abnormal vibrissa morphology
ADAM17	current symbol	MGI:1096335	MP:0002169	no abnormal phenotype detected
ADAM17	current symbol	MGI:1096335	MP:0002189	abnormal myocardial trabeculae morphology
ADAM17	current symbol	MGI:1096335	MP:0002376	abnormal dendritic cell physiology
ADAM17	current symbol	MGI:1096335	MP:0002451	abnormal macrophage physiology
ADAM17	current symbol	MGI:1096335	MP:0002497	increased IgE level
ADAM17	current symbol	MGI:1096335	MP:0002624	abnormal tricuspid valve morphology
ADAM17	current symbol	MGI:1096335	MP:0002626	increased heart rate
ADAM17	current symbol	MGI:1096335	MP:0002652	thin myocardium
ADAM17	current symbol	MGI:1096335	MP:0002745	abnormal atrioventricular valve morphology
ADAM17	current symbol	MGI:1096335	MP:0002746	abnormal semilunar valve morphology
ADAM17	current symbol	MGI:1096335	MP:0002747	abnormal aortic valve morphology
ADAM17	current symbol	MGI:1096335	MP:0002748	abnormal pulmonary valve morphology
ADAM17	current symbol	MGI:1096335	MP:0002796	impaired skin barrier function
ADAM17	current symbol	MGI:1096335	MP:0002833	increased heart weight
ADAM17	current symbol	MGI:1096335	MP:0002953	thick ventricular wall
ADAM17	current symbol	MGI:1096335	MP:0002998	abnormal bone remodeling
ADAM17	current symbol	MGI:1096335	MP:0003078	aphakia
ADAM17	current symbol	MGI:1096335	MP:0003109	short femur
ADAM17	current symbol	MGI:1096335	MP:0003131	increased erythrocyte cell number
ADAM17	current symbol	MGI:1096335	MP:0003153	early eyelid opening
ADAM17	current symbol	MGI:1096335	MP:0003408	increased width of hypertrophic chondrocyte zone
ADAM17	current symbol	MGI:1096335	MP:0003567	abnormal fetal cardiomyocyte proliferation
ADAM17	current symbol	MGI:1096335	MP:0003662	abnormal long bone epiphyseal plate proliferative zone
ADAM17	current symbol	MGI:1096335	MP:0003704	abnormal hair follicle development
ADAM17	current symbol	MGI:1096335	MP:0003711	pathological neovascularization
ADAM17	current symbol	MGI:1096335	MP:0003853	dry skin
ADAM17	current symbol	MGI:1096335	MP:0003915	increased left ventricle weight
ADAM17	current symbol	MGI:1096335	MP:0004007	abnormal lung vasculature morphology
ADAM17	current symbol	MGI:1096335	MP:0004016	decreased bone mass
ADAM17	current symbol	MGI:1096335	MP:0004067	abnormal trabecula carnea morphology
ADAM17	current symbol	MGI:1096335	MP:0004226	absent Schlemm's canal
ADAM17	current symbol	MGI:1096335	MP:0004283	absent corneal endothelium
ADAM17	current symbol	MGI:1096335	MP:0004285	absent Descemet membrane
ADAM17	current symbol	MGI:1096335	MP:0004391	abnormal respiratory conducting tube morphology
ADAM17	current symbol	MGI:1096335	MP:0004545	enlarged esophagus
ADAM17	current symbol	MGI:1096335	MP:0004564	enlarged myocardial fiber
ADAM17	current symbol	MGI:1096335	MP:0004686	decreased length of long bones
ADAM17	current symbol	MGI:1096335	MP:0004947	skin inflammation
ADAM17	current symbol	MGI:1096335	MP:0004950	abnormal brain vasculature morphology
ADAM17	current symbol	MGI:1096335	MP:0005016	decreased lymphocyte cell number
ADAM17	current symbol	MGI:1096335	MP:0005017	decreased B cell number
ADAM17	current symbol	MGI:1096335	MP:0005018	decreased T cell number
ADAM17	current symbol	MGI:1096335	MP:0005031	abnormal trophoblast layer morphology
ADAM17	current symbol	MGI:1096335	MP:0005140	decreased cardiac muscle contractility
ADAM17	current symbol	MGI:1096335	MP:0005193	abnormal anterior eye segment morphology
ADAM17	current symbol	MGI:1096335	MP:0005204	abnormal canal of Schlemm morphology
ADAM17	current symbol	MGI:1096335	MP:0005329	abnormal myocardium layer morphology
ADAM17	current symbol	MGI:1096335	MP:0005425	increased macrophage cell number
ADAM17	current symbol	MGI:1096335	MP:0005464	abnormal platelet physiology
ADAM17	current symbol	MGI:1096335	MP:0005505	thrombocytosis
ADAM17	current symbol	MGI:1096335	MP:0005543	decreased cornea thickness
ADAM17	current symbol	MGI:1096335	MP:0005564	increased hemoglobin content
ADAM17	current symbol	MGI:1096335	MP:0006000	abnormal corneal epithelium morphology
ADAM17	current symbol	MGI:1096335	MP:0006117	aortic valve stenosis
ADAM17	current symbol	MGI:1096335	MP:0006236	absent Meibomian glands
ADAM17	current symbol	MGI:1096335	MP:0006382	abnormal lung epithelium morphology
ADAM17	current symbol	MGI:1096335	MP:0008086	increased T-helper 1 cell number
ADAM17	current symbol	MGI:1096335	MP:0008090	increased T-helper 2 cell number
ADAM17	current symbol	MGI:1096335	MP:0008476	increased spleen red pulp amount
ADAM17	current symbol	MGI:1096335	MP:0008537	increased susceptibility to induced colitis
ADAM17	current symbol	MGI:1096335	MP:0008554	decreased circulating tumor necrosis factor level
ADAM17	current symbol	MGI:1096335	MP:0008568	abnormal interleukin secretion
ADAM17	current symbol	MGI:1096335	MP:0008614	increased circulating interleukin-17 level
ADAM17	current symbol	MGI:1096335	MP:0008660	increased interleukin-10 secretion
ADAM17	current symbol	MGI:1096335	MP:0008681	increased interleukin-17 secretion
ADAM17	current symbol	MGI:1096335	MP:0008721	abnormal chemokine level
ADAM17	current symbol	MGI:1096335	MP:0008734	decreased susceptibility to endotoxin shock
ADAM17	current symbol	MGI:1096335	MP:0008770	decreased survivor rate
ADAM17	current symbol	MGI:1096335	MP:0008772	increased heart ventricle size
ADAM17	current symbol	MGI:1096335	MP:0008838	decreased transforming growth factor beta level
ADAM17	current symbol	MGI:1096335	MP:0008874	decreased physiological sensitivity to xenobiotic
ADAM17	current symbol	MGI:1096335	MP:0008883	abnormal enterocyte proliferation
ADAM17	current symbol	MGI:1096335	MP:0009264	failure of eyelid fusion
ADAM17	current symbol	MGI:1096335	MP:0009346	decreased trabecular bone thickness
ADAM17	current symbol	MGI:1096335	MP:0009431	decreased fetal weight
ADAM17	current symbol	MGI:1096335	MP:0009503	abnormal mammary gland duct morphology
ADAM17	current symbol	MGI:1096335	MP:0009763	increased sensitivity to induced morbidity/mortality
ADAM17	current symbol	MGI:1096335	MP:0009859	eye opacity
ADAM17	current symbol	MGI:1096335	MP:0010072	increased pruritus
ADAM17	current symbol	MGI:1096335	MP:0010123	increased bone mineral content
ADAM17	current symbol	MGI:1096335	MP:0010180	increased susceptibility to weight loss
ADAM17	current symbol	MGI:1096335	MP:0010209	abnormal circulating chemokine level
ADAM17	current symbol	MGI:1096335	MP:0010219	increased T-helper 17 cell number
ADAM17	current symbol	MGI:1096335	MP:0010373	myeloid hyperplasia
ADAM17	current symbol	MGI:1096335	MP:0010402	ventricular septal defect
ADAM17	current symbol	MGI:1096335	MP:0010579	increased heart left ventricle size
ADAM17	current symbol	MGI:1096335	MP:0010591	enlarged aortic valve
ADAM17	current symbol	MGI:1096335	MP:0010593	thick aortic valve cusps
ADAM17	current symbol	MGI:1096335	MP:0010594	thick aortic valve
ADAM17	current symbol	MGI:1096335	MP:0010595	abnormal aortic valve cusp morphology
ADAM17	current symbol	MGI:1096335	MP:0010600	enlarged pulmonary valve
ADAM17	current symbol	MGI:1096335	MP:0010601	thick pulmonary valve
ADAM17	current symbol	MGI:1096335	MP:0010605	thick pulmonary valve cusps
ADAM17	current symbol	MGI:1096335	MP:0010626	thick tricuspid valve cusps
ADAM17	current symbol	MGI:1096335	MP:0010825	abnormal lung saccule morphology
ADAM17	current symbol	MGI:1096335	MP:0010831	lethality, incomplete penetrance
ADAM17	current symbol	MGI:1096335	MP:0010856	dilated respiratory conducting tubes
ADAM17	current symbol	MGI:1096335	MP:0010887	pale lung
ADAM17	current symbol	MGI:1096335	MP:0010897	abnormal bronchiole epithelium morphology
ADAM17	current symbol	MGI:1096335	MP:0011024	abnormal branching involved in lung morphogenesis
ADAM17	current symbol	MGI:1096335	MP:0011085	postnatal lethality, complete penetrance
ADAM17	current symbol	MGI:1096335	MP:0011086	postnatal lethality, incomplete penetrance
ADAM17	current symbol	MGI:1096335	MP:0011087	neonatal lethality, complete penetrance
ADAM17	current symbol	MGI:1096335	MP:0011088	neonatal lethality, incomplete penetrance
ADAM17	current symbol	MGI:1096335	MP:0011089	perinatal lethality, complete penetrance
ADAM17	current symbol	MGI:1096335	MP:0011090	perinatal lethality, incomplete penetrance
ADAM17	current symbol	MGI:1096335	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
ADAM17	current symbol	MGI:1096335	MP:0011143	thick lung-associated mesenchyme
ADAM17	current symbol	MGI:1096335	MP:0011481	anterior iris synechia
ADAM17	current symbol	MGI:1096335	MP:0011697	vacuolated lens
ADAM17	current symbol	MGI:1096335	MP:0011929	abnormal aortic valve flow
ADAM17	current symbol	MGI:1096335	MP:0012099	decreased spongiotrophoblast size
ADAM17	current symbol	MGI:1096335	MP:0013744	abnormal conjunctival sac morphology
ADAM17	current symbol	MGI:1096335	MP:0013745	abnormal eyelid margin morphology
ADAM17	current symbol	MGI:1096335	MP:0020333	enhanced leukocyte tethering or rolling
GAK	current symbol	MGI:2442153	MP:0000598	abnormal liver morphology
GAK	current symbol	MGI:2442153	MP:0000611	jaundice
GAK	current symbol	MGI:2442153	MP:0000812	abnormal dentate gyrus morphology
GAK	current symbol	MGI:2442153	MP:0000815	abnormal Ammon gyrus morphology
GAK	current symbol	MGI:2442153	MP:0001211	wrinkled skin
GAK	current symbol	MGI:2442153	MP:0001216	abnormal epidermal layer morphology
GAK	current symbol	MGI:2442153	MP:0001240	abnormal epidermis stratum corneum morphology
GAK	current symbol	MGI:2442153	MP:0001260	increased body weight
GAK	current symbol	MGI:2442153	MP:0001265	decreased body size
GAK	current symbol	MGI:2442153	MP:0001429	dehydration
GAK	current symbol	MGI:2442153	MP:0002083	premature death
GAK	current symbol	MGI:2442153	MP:0002169	no abnormal phenotype detected
GAK	current symbol	MGI:2442153	MP:0002796	impaired skin barrier function
GAK	current symbol	MGI:2442153	MP:0002928	abnormal bile duct morphology
GAK	current symbol	MGI:2442153	MP:0003950	abnormal plasma membrane morphology
GAK	current symbol	MGI:2442153	MP:0004782	abnormal surfactant physiology
GAK	current symbol	MGI:2442153	MP:0004948	abnormal neuronal precursor proliferation
GAK	current symbol	MGI:2442153	MP:0004981	decreased neuronal precursor cell number
GAK	current symbol	MGI:2442153	MP:0005202	lethargy
GAK	current symbol	MGI:2442153	MP:0008458	abnormal cortical ventricular zone morphology
GAK	current symbol	MGI:2442153	MP:0009937	abnormal neuron differentiation
GAK	current symbol	MGI:2442153	MP:0010398	decreased liver glycogen level
GAK	current symbol	MGI:2442153	MP:0010900	abnormal pulmonary interalveolar septum morphology
GAK	current symbol	MGI:2442153	MP:0010902	abnormal pulmonary alveolar sac morphology
GAK	current symbol	MGI:2442153	MP:0010995	abnormal lung alveolus development
GAK	current symbol	MGI:2442153	MP:0011085	postnatal lethality, complete penetrance
GAK	current symbol	MGI:2442153	MP:0011087	neonatal lethality, complete penetrance
GAK	current symbol	MGI:2442153	MP:0011092	embryonic lethality, complete penetrance
GAK	current symbol	MGI:2442153	MP:0012242	abnormal hepatoblast differentiation
CLEC4M	frog, western clawed symbol	MGI:2180021	MP:0000696	abnormal Peyer's patch morphology
CLEC4M	frog, western clawed symbol	MGI:2180021	MP:0001806	decreased IgM level
CLEC4M	frog, western clawed symbol	MGI:2180021	MP:0001807	decreased IgA level
CLEC4M	frog, western clawed symbol	MGI:2180021	MP:0002534	abnormal type IV hypersensitivity reaction
CLEC4M	frog, western clawed symbol	MGI:2180021	MP:0005616	decreased susceptibility to type IV hypersensitivity reaction
CLEC4M	frog, western clawed symbol	MGI:2180021	MP:0008117	abnormal Langerhans cell morphology
CLEC4M	frog, western clawed symbol	MGI:2180021	MP:0008118	absent Langerhans cell
CLEC4M	frog, western clawed symbol	MGI:2180021	MP:0008119	decreased Langerhans cell number
CLEC4M	frog, western clawed symbol	MGI:2180021	MP:0008127	decreased dendritic cell number
CLEC4M	frog, western clawed symbol	MGI:2180021	MP:0008495	decreased IgG1 level
CLEC4M	frog, western clawed symbol	MGI:2180021	MP:0008496	decreased IgG2a level
CLEC4M	frog, western clawed symbol	MGI:2180021	MP:0008498	decreased IgG3 level
CLEC4M	frog, western clawed symbol	MGI:2180021	MP:0020946	increased susceptibility to Orthomyxoviridae infection
CLEC4M	human symbol	MGI:2157942	MP:0000220	increased monocyte cell number
CLEC4M	human symbol	MGI:2157942	MP:0001846	increased inflammatory response
CLEC4M	human symbol	MGI:2157942	MP:0003638	abnormal response/metabolism to endogenous compounds
CLEC4M	human symbol	MGI:2157942	MP:0005013	increased lymphocyte cell number
CLEC4M	human symbol	MGI:2157942	MP:0005348	increased T cell proliferation
CLEC4M	human symbol	MGI:2157942	MP:0005566	decreased blood urea nitrogen level
CLEC4M	human symbol	MGI:2157942	MP:0008097	increased plasma cell number
CLEC4M	human symbol	MGI:2157942	MP:0008210	increased mature B cell number
CLEC4M	human symbol	MGI:2157942	MP:0008483	increased spleen germinal center size
CLEC4M	human symbol	MGI:2157942	MP:0008497	decreased IgG2b level
CLEC4M	human symbol	MGI:2157942	MP:0009766	increased sensitivity to xenobiotic induced morbidity/mortality
CLEC4M	rat symbol	MGI:1916415	MP:0001798	impaired macrophage phagocytosis
CLEC4M	rat symbol	MGI:1916415	MP:0002412	increased susceptibility to bacterial infection
CLEC4M	rat symbol	MGI:1916415	MP:0002451	abnormal macrophage physiology
CLEC4M	rat symbol	MGI:1916415	MP:0002494	increased IgM level
CLEC4M	rat symbol	MGI:1916415	MP:0005011	increased eosinophil cell number
CLEC4M	rat symbol	MGI:1916415	MP:0005425	increased macrophage cell number
CLEC4M	rat symbol	MGI:1916415	MP:0005635	decreased circulating bilirubin level
CLEC4M	rat symbol	MGI:1916415	MP:0008211	decreased mature B cell number
CLEC4M	rat symbol	MGI:1916415	MP:0008501	increased IgG2b level
CLEC4M	rat symbol	MGI:1916415	MP:0008502	increased IgG3 level
CLEC4M	rat symbol	MGI:1916415	MP:0008539	decreased susceptibility to induced colitis
CLEC4M	rat symbol	MGI:1916415	MP:0008658	decreased interleukin-1 beta secretion
CLEC4M	rat symbol	MGI:1916415	MP:0008685	decreased interleukin-18 secretion
CLEC4M	rat symbol	MGI:1916415	MP:0008734	decreased susceptibility to endotoxin shock
CLEC4M	rat symbol	MGI:1916415	MP:0009646	urinary bladder inflammation
CLEC4M	rat symbol	MGI:1916415	MP:0009788	increased susceptibility to bacterial infection induced morbidity/mortality
CLEC4M	rat symbol	MGI:1916415	MP:0011339	abnormal glomerular mesangium morphology
CLEC4M	rat synonym	MGI:2157947	MP:0002412	increased susceptibility to bacterial infection
CLEC4M	rat synonym	MGI:2157947	MP:0005014	increased B cell number
CLEC4M	rat synonym	MGI:2157947	MP:0005154	increased B cell proliferation
CLEC4M	rat synonym	MGI:2157947	MP:0008553	increased circulating tumor necrosis factor level
CLEC4M	rat synonym	MGI:2157947	MP:0009115	abnormal fat cell morphology
SH2D3C	current symbol	MGI:1351631	MP:0000837	abnormal hypothalamus morphology
SH2D3C	current symbol	MGI:1351631	MP:0000965	abnormal sensory neuron morphology
SH2D3C	current symbol	MGI:1351631	MP:0000968	abnormal sensory neuron innervation pattern
SH2D3C	current symbol	MGI:1351631	MP:0001147	small testis
SH2D3C	current symbol	MGI:1351631	MP:0001800	abnormal humoral immune response
SH2D3C	current symbol	MGI:1351631	MP:0001806	decreased IgM level
SH2D3C	current symbol	MGI:1351631	MP:0002459	abnormal B cell physiology
SH2D3C	current symbol	MGI:1351631	MP:0003156	abnormal leukocyte migration
SH2D3C	current symbol	MGI:1351631	MP:0003633	abnormal nervous system physiology
SH2D3C	current symbol	MGI:1351631	MP:0003651	abnormal axon extension
SH2D3C	current symbol	MGI:1351631	MP:0005236	abnormal olfactory nerve morphology
SH2D3C	current symbol	MGI:1351631	MP:0008182	decreased marginal zone B cell number
SH2D3C	current symbol	MGI:1351631	MP:0008193	abnormal marginal zone B cell physiology
SH2D3C	current symbol	MGI:1351631	MP:0008495	decreased IgG1 level
SH2D3C	current symbol	MGI:1351631	MP:0008497	decreased IgG2b level
SH2D3C	current symbol	MGI:1351631	MP:0008498	decreased IgG3 level
SH2D3C	current symbol	MGI:1351631	MP:0008706	decreased interleukin-6 secretion
SH2D3C	current symbol	MGI:1351631	MP:0009546	absent gastric milk in neonates
SH2D3C	current symbol	MGI:1351631	MP:0009946	abnormal olfactory bulb layer morphology
SH2D3C	current symbol	MGI:1351631	MP:0009948	abnormal olfactory bulb glomerular layer morphology
SH2D3C	current symbol	MGI:1351631	MP:0009951	abnormal olfactory bulb mitral cell layer morphology
SH2D3C	current symbol	MGI:1351631	MP:0010059	olfactory bulb hypoplasia
SH2D3C	current symbol	MGI:1351631	MP:0011088	neonatal lethality, incomplete penetrance
PPP1CA	current symbol	MGI:103016	
BSG	current symbol	MGI:88208	MP:0000598	abnormal liver morphology
BSG	current symbol	MGI:88208	MP:0000601	small liver
BSG	current symbol	MGI:88208	MP:0000715	decreased thymocyte number
BSG	current symbol	MGI:88208	MP:0001156	abnormal spermatogenesis
BSG	current symbol	MGI:88208	MP:0001262	decreased body weight
BSG	current symbol	MGI:88208	MP:0001326	retinal degeneration
BSG	current symbol	MGI:88208	MP:0001828	abnormal T cell activation
BSG	current symbol	MGI:88208	MP:0001862	interstitial pneumonia
BSG	current symbol	MGI:88208	MP:0001925	male infertility
BSG	current symbol	MGI:88208	MP:0001926	female infertility
BSG	current symbol	MGI:88208	MP:0001954	respiratory distress
BSG	current symbol	MGI:88208	MP:0002743	glomerulonephritis
BSG	current symbol	MGI:88208	MP:0002871	albuminuria
BSG	current symbol	MGI:88208	MP:0003917	increased kidney weight
BSG	current symbol	MGI:88208	MP:0004021	abnormal rod electrophysiology
BSG	current symbol	MGI:88208	MP:0004022	abnormal cone electrophysiology
BSG	current symbol	MGI:88208	MP:0004801	increased susceptibility to systemic lupus erythematosus
BSG	current symbol	MGI:88208	MP:0004952	increased spleen weight
BSG	current symbol	MGI:88208	MP:0004956	decreased thymus weight
BSG	current symbol	MGI:88208	MP:0005092	decreased double-positive T cell number
BSG	current symbol	MGI:88208	MP:0005159	azoospermia
BSG	current symbol	MGI:88208	MP:0005325	abnormal renal glomerulus morphology
BSG	current symbol	MGI:88208	MP:0005348	increased T cell proliferation
BSG	current symbol	MGI:88208	MP:0008083	decreased single-positive T cell number
BSG	current symbol	MGI:88208	MP:0008261	arrest of male meiosis
BSG	current symbol	MGI:88208	MP:0008447	absent retinal cone cells
BSG	current symbol	MGI:88208	MP:0008450	retinal photoreceptor degeneration
BSG	current symbol	MGI:88208	MP:0008454	absent retinal rod cells
BSG	current symbol	MGI:88208	MP:0008515	thin retinal outer nuclear layer
BSG	current symbol	MGI:88208	MP:0008586	disorganized photoreceptor outer segment
BSG	current symbol	MGI:88208	MP:0008587	short photoreceptor outer segment
BSG	current symbol	MGI:88208	MP:0009338	increased splenocyte number
BSG	current symbol	MGI:88208	MP:0010219	increased T-helper 17 cell number
BSG	current symbol	MGI:88208	MP:0011086	postnatal lethality, incomplete penetrance
BSG	current symbol	MGI:88208	MP:0011103	embryonic lethality at implantation, incomplete penetrance
BSG	current symbol	MGI:88208	MP:0011353	expanded mesangial matrix
BSG	current symbol	MGI:88208	MP:0011427	mesangial cell hyperplasia
BSG	current symbol	MGI:88208	MP:0012144	decreased b wave amplitude
BSG	current symbol	MGI:88208	MP:0012153	increased b wave latency
BSG	current symbol	MGI:88208	MP:0020216	decreased circulating complement protein level
F3	human synonym	MGI:105980	MP:0000746	weakness
F3	human synonym	MGI:105980	MP:0000849	abnormal cerebellum morphology
F3	human synonym	MGI:105980	MP:0000852	small cerebellum
F3	human synonym	MGI:105980	MP:0000877	abnormal Purkinje cell morphology
F3	human synonym	MGI:105980	MP:0000886	abnormal cerebellar granule layer morphology
F3	human synonym	MGI:105980	MP:0000889	abnormal cerebellar molecular layer
F3	human synonym	MGI:105980	MP:0001262	decreased body weight
F3	human synonym	MGI:105980	MP:0001263	weight loss
F3	human synonym	MGI:105980	MP:0001265	decreased body size
F3	human synonym	MGI:105980	MP:0001393	ataxia
F3	human synonym	MGI:105980	MP:0001394	circling
F3	human synonym	MGI:105980	MP:0001406	abnormal gait
F3	human synonym	MGI:105980	MP:0001504	abnormal posture
F3	human synonym	MGI:105980	MP:0001516	abnormal motor coordination/balance
F3	human synonym	MGI:105980	MP:0001524	impaired limb coordination
F3	human synonym	MGI:105980	MP:0002066	abnormal motor capabilities/coordination/movement
F3	human synonym	MGI:105980	MP:0002183	gliosis
F3	human synonym	MGI:105980	MP:0002961	abnormal axon guidance
F3	human synonym	MGI:105980	MP:0004098	abnormal cerebellar granule cell morphology
F3	human synonym	MGI:105980	MP:0004263	abnormal limb posture
F3	human synonym	MGI:105980	MP:0005150	cachexia
F3	human synonym	MGI:105980	MP:0008143	abnormal dendrite morphology
F3	human synonym	MGI:105980	MP:0009450	abnormal axon fasciculation
F3	human synonym	MGI:105980	MP:0009512	abnormal cerebellar Golgi cell morphology
F3	human synonym	MGI:105980	MP:0011083	lethality at weaning, complete penetrance
F3	human synonym	MGI:105980	MP:0011085	postnatal lethality, complete penetrance
F3	human synonym	MGI:105980	MP:0011100	preweaning lethality, complete penetrance
F3	human synonym	MGI:105980	MP:0011101	prenatal lethality, incomplete penetrance
F3	human synonym	MGI:105980	MP:0011110	preweaning lethality, incomplete penetrance
F3	human synonym	MGI:105980	MP:0014085	stomach non-glandular epithelium hyperkeratosis
F3	current symbol	MGI:88381	MP:0000221	decreased leukocyte cell number
F3	current symbol	MGI:88381	MP:0000222	decreased neutrophil cell number
F3	current symbol	MGI:88381	MP:0000249	abnormal blood vessel physiology
F3	current symbol	MGI:88381	MP:0000266	abnormal heart morphology
F3	current symbol	MGI:88381	MP:0000274	enlarged heart
F3	current symbol	MGI:88381	MP:0000291	enlarged pericardium
F3	current symbol	MGI:88381	MP:0000292	distended pericardium
F3	current symbol	MGI:88381	MP:0001262	decreased body weight
F3	current symbol	MGI:88381	MP:0001393	ataxia
F3	current symbol	MGI:88381	MP:0001634	internal hemorrhage
F3	current symbol	MGI:88381	MP:0001672	abnormal embryo development
F3	current symbol	MGI:88381	MP:0001698	decreased embryo size
F3	current symbol	MGI:88381	MP:0001719	absent vitelline blood vessels
F3	current symbol	MGI:88381	MP:0001722	pale yolk sac
F3	current symbol	MGI:88381	MP:0001723	disorganized yolk sac vascular plexus
F3	current symbol	MGI:88381	MP:0001914	hemorrhage
F3	current symbol	MGI:88381	MP:0001916	intracerebral hemorrhage
F3	current symbol	MGI:88381	MP:0002001	blindness
F3	current symbol	MGI:88381	MP:0002048	increased lung adenoma incidence
F3	current symbol	MGI:88381	MP:0002082	postnatal lethality
F3	current symbol	MGI:88381	MP:0002083	premature death
F3	current symbol	MGI:88381	MP:0002085	abnormal embryonic tissue morphology
F3	current symbol	MGI:88381	MP:0002086	abnormal extraembryonic tissue morphology
F3	current symbol	MGI:88381	MP:0002451	abnormal macrophage physiology
F3	current symbol	MGI:88381	MP:0002551	abnormal blood coagulation
F3	current symbol	MGI:88381	MP:0003141	cardiac fibrosis
F3	current symbol	MGI:88381	MP:0003229	abnormal vitelline vasculature morphology
F3	current symbol	MGI:88381	MP:0003232	abnormal forebrain development
F3	current symbol	MGI:88381	MP:0003628	abnormal leukocyte adhesion
F3	current symbol	MGI:88381	MP:0003717	pallor
F3	current symbol	MGI:88381	MP:0003984	embryonic growth retardation
F3	current symbol	MGI:88381	MP:0004230	abnormal embryonic erythrocyte morphology
F3	current symbol	MGI:88381	MP:0004883	abnormal vascular wound healing
F3	current symbol	MGI:88381	MP:0005017	decreased B cell number
F3	current symbol	MGI:88381	MP:0005048	abnormal thrombosis
F3	current symbol	MGI:88381	MP:0005595	abnormal vascular smooth muscle physiology
F3	current symbol	MGI:88381	MP:0006323	abnormal extraembryonic mesoderm development
F3	current symbol	MGI:88381	MP:0008028	pregnancy-related premature death
F3	current symbol	MGI:88381	MP:0008554	decreased circulating tumor necrosis factor level
F3	current symbol	MGI:88381	MP:0008597	decreased circulating interleukin-6 level
F3	current symbol	MGI:88381	MP:0008642	decreased circulating interleukin-1 beta level
