,genes_related_count,genes_related,genes_in_pathway,p-value,count in gene set
EPO Receptor Signaling,9,"['signal transducer and activator of transcription 5A', 'signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'cytokine inducible SH2 containing protein', 'signal transducer and activator of transcription 1', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'protein tyrosine phosphatase receptor type C', 'AKT serine/threonine kinase 1']",27,1.4993035227724577e-07,9/27
IL-7 Signaling Pathway,8,"['signal transducer and activator of transcription 5A', 'signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 3', 'AKT serine/threonine kinase 1', 'interleukin 2 receptor subunit alpha', 'interleukin 7']",20,2.8233916647848263e-07,8/20
"Non-genomic actions of 1,25 dihydroxyvitamin D3",14,"['tumor necrosis factor', 'mitogen-activated protein kinase 1', 'toll like receptor 4', 'Sp1 transcription factor', 'interleukin 6', 'C-C motif chemokine ligand 2', 'cathelicidin antimicrobial peptide', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 8', 'C-X-C motif chemokine ligand 8', 'mitogen-activated protein kinase 3', 'CD40 molecule', 'TNF receptor superfamily member 1A', 'toll like receptor 8']",99,3.8879680269638605e-07,14/99
Bladder Cancer,10,"['mitogen-activated protein kinase 1', 'vascular endothelial growth factor A', 'matrix metallopeptidase 9', 'C-X-C motif chemokine ligand 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'epidermal growth factor receptor', 'epidermal growth factor', 'tumor protein p53', 'cyclin dependent kinase inhibitor 1A', 'matrix metallopeptidase 2']",41,4.608937712950843e-07,10/41
Brain-Derived Neurotrophic Factor (BDNF) signaling pathway,16,"['signal transducer and activator of transcription 5A', 'signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'early growth response 1', 'mechanistic target of rapamycin kinase', 'RELA proto-oncogene, NF-kB subunit', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 8', 'neural cell adhesion molecule 1', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'ADAM metallopeptidase domain 17', 'cAMP responsive element binding protein 1', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'AKT serine/threonine kinase 1', 'protein tyrosine phosphatase non-receptor type 11']",139,5.061403002928577e-07,16/139
Inflammatory Response Pathway,9,"['CD80 molecule', 'interleukin 4', 'CD28 molecule', 'CD40 molecule', 'LCK proto-oncogene, Src family tyrosine kinase', 'interleukin 2', 'TNF receptor superfamily member 1A', 'interferon gamma', 'interleukin 2 receptor subunit alpha']",33,1.134514055240893e-06,9/33
Resistin as a regulator of inflammation,9,"['tumor necrosis factor', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'interleukin 6', 'RELA proto-oncogene, NF-kB subunit', 'C-X-C motif chemokine ligand 8', 'mitogen-activated protein kinase 3', 'AKT serine/threonine kinase 1']",33,1.134514055240893e-06,9/33
Human Thyroid Stimulating Hormone (TSH) signaling pathway,11,"['signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'early growth response 1', 'mechanistic target of rapamycin kinase', 'signal transducer and activator of transcription 1', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'cAMP responsive element binding protein 1', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'AKT serine/threonine kinase 1']",58,1.1454287580578428e-06,11/58
Signaling of Hepatocyte Growth Factor Receptor,9,"['signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'CRK proto-oncogene, adaptor protein', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'protein tyrosine phosphatase non-receptor type 11']",34,1.521529488901955e-06,9/34
Cardiac Hypertrophic Response,11,"['tumor necrosis factor', 'mitogen-activated protein kinase 1', 'mechanistic target of rapamycin kinase', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'fibroblast growth factor 2', 'epidermal growth factor', 'transforming growth factor beta 1', 'TNF receptor superfamily member 1A', 'AKT serine/threonine kinase 1']",62,2.417087953651886e-06,11/62
Differentiation Pathway,10,"['transferrin', 'notch receptor 1', 'vascular endothelial growth factor A', 'interleukin 6', 'interleukin 3', 'TNF superfamily member 11', 'insulin', 'fibroblast growth factor 2', 'epidermal growth factor', 'transforming growth factor beta 1']",48,2.4374633466124296e-06,10/48
"Relationship between inflammation, COX-2 and EGFR",8,"['phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'estrogen receptor 1', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'mitogen-activated protein kinase 3', 'epidermal growth factor receptor', 'prostaglandin-endoperoxide synthase 2', 'AKT serine/threonine kinase 1']",26,3.22157033921223e-06,8/26
EBV LMP1 signaling,8,"['C-C motif chemokine ligand 5', 'tumor necrosis factor', 'mitogen-activated protein kinase 1', 'RELA proto-oncogene, NF-kB subunit', 'mitogen-activated protein kinase 8', 'C-X-C motif chemokine ligand 8', 'C-C motif chemokine ligand 20', 'interferon beta 1']",27,4.51489243894795e-06,8/27
VEGFA-VEGFR2 Signaling Pathway,26,"['signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'vascular endothelial growth factor A', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'early growth response 1', 'signal transducer and activator of transcription 6', 'C-C motif chemokine ligand 2', 'CRK proto-oncogene, adaptor protein', 'mechanistic target of rapamycin kinase', 'Fas cell surface death receptor', 'RELA proto-oncogene, NF-kB subunit', 'intercellular adhesion molecule 1', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 8', 'C-X-C motif chemokine ligand 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'jagged canonical Notch ligand 1', 'cAMP responsive element binding protein 1', 'matrix metallopeptidase 2', 'coagulation factor III, tissue factor', 'prostaglandin-endoperoxide synthase 2', 'AKT serine/threonine kinase 1', 'ras homolog family member A', 'protein tyrosine phosphatase non-receptor type 11', 'Cbl proto-oncogene']",441,6.4197253821551244e-06,26/441
IL-1 signaling pathway,10,"['mitogen-activated protein kinase 1', 'REL proto-oncogene, NF-kB subunit', 'C-C motif chemokine ligand 2', 'RELA proto-oncogene, NF-kB subunit', 'mitogen-activated protein kinase 8', 'mitogen-activated protein kinase 3', 'MYD88 innate immune signal transduction adaptor', 'AKT serine/threonine kinase 1', 'interleukin 1 beta', 'protein tyrosine phosphatase non-receptor type 11']",54,8.198322861481155e-06,10/54
TGF-beta Receptor Signaling,10,"['tumor necrosis factor', 'signal transducer and activator of transcription 3', 'LIF interleukin 6 family cytokine', 'serpin family E member 1', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 3', 'epidermal growth factor', 'transforming growth factor beta 1', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'interferon gamma']",55,9.88064767759864e-06,10/55
Development and heterogeneity of the ILC family,8,"['tumor necrosis factor', 'interleukin 6', 'interleukin 4', 'interleukin 17A', 'interleukin 9', 'interferon gamma', 'interleukin 1 beta', 'interleukin 7']",33,2.5979387188668002e-05,8/33
Insulin Signaling,15,"['regenerating family member 1 alpha', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'early growth response 1', 'CRK proto-oncogene, adaptor protein', 'mechanistic target of rapamycin kinase', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'suppressor of cytokine signaling 3', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'AKT serine/threonine kinase 1', 'protein tyrosine phosphatase non-receptor type 11', 'Cbl proto-oncogene']",162,3.487139652531906e-05,15/162
Signaling Pathways in Glioblastoma,11,"['phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'ATM serine/threonine kinase', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'epidermal growth factor receptor', 'tumor protein p53', 'cyclin dependent kinase inhibitor 1A', 'AKT serine/threonine kinase 1', 'Cbl proto-oncogene']",83,5.7142522373320946e-05,11/83
MAPK Signaling Pathway,18,"['tumor necrosis factor', 'mitogen-activated protein kinase 1', 'CRK proto-oncogene, adaptor protein', 'Fas cell surface death receptor', 'RELA proto-oncogene, NF-kB subunit', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'epidermal growth factor receptor', 'fibroblast growth factor 2', 'epidermal growth factor', 'CD14 molecule', 'transforming growth factor beta 1', 'tumor protein p53', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'TNF receptor superfamily member 1A', 'AKT serine/threonine kinase 1', 'interleukin 1 beta']",246,6.0337494906047305e-05,18/246
Association Between Physico-Chemical Features and Toxicity Associated Pathways,10,"['superoxide dismutase 1', 'signal transducer and activator of transcription 5A', 'mitogen-activated protein kinase 1', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'epidermal growth factor receptor', 'cyclin dependent kinase inhibitor 1A', 'AKT serine/threonine kinase 1', 'ras homolog family member A', 'Cbl proto-oncogene']",68,8.185731807973006e-05,10/68
IL-9 Signaling Pathway,6,"['signal transducer and activator of transcription 5A', 'signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 3', 'interleukin 9']",17,0.00011471014061872182,6/17
TNF alpha Signaling Pathway,11,"['tumor necrosis factor', 'BCL2 associated X, apoptosis regulator', 'mitogen-activated protein kinase 1', 'REL proto-oncogene, NF-kB subunit', 'interleukin 6', 'C-C motif chemokine ligand 2', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'TNF receptor superfamily member 1A', 'AKT serine/threonine kinase 1']",90,0.00013348462773732605,11/90
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,20,"['chorionic somatomammotropin hormone 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'mitogen-activated protein kinase 1', 'vascular endothelial growth factor A', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'interferon alpha and beta receptor subunit 1', 'mechanistic target of rapamycin kinase', 'integrin subunit alpha X', 'insulin', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'epidermal growth factor receptor', 'fibroblast growth factor 2', 'epidermal growth factor', 'cAMP responsive element binding protein 1', 'interferon beta 1', 'interleukin 2', 'cyclin dependent kinase inhibitor 1A', 'AKT serine/threonine kinase 1', 'interleukin 2 receptor subunit alpha']",318,0.00013557987302964254,20/318
DNA Damage Response (only ATM dependent),12,"['catalase', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'BCL2 associated X, apoptosis regulator', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'ATM serine/threonine kinase', 'mitogen-activated protein kinase 8', 'transforming growth factor beta 1', 'tumor protein p53', 'cyclin dependent kinase inhibitor 1A', 'AKT serine/threonine kinase 1', 'ras homolog family member A']",112,0.00016049954482905422,12/112
ACE Inhibitor Pathway,6,"['angiotensin II receptor type 1', 'renin', 'transforming growth factor beta 1', 'angiotensin I converting enzyme', 'angiotensin I converting enzyme 2', 'angiotensin II receptor type 2']",18,0.00016974927172864,6/18
Estrogen signaling pathway,7,"['estrogen receptor 1', 'mitogen-activated protein kinase 1', 'Sp1 transcription factor', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'cAMP responsive element binding protein 1', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'AKT serine/threonine kinase 1']",29,0.00019528505195275488,7/29
TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer,4,"['signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'mitogen-activated protein kinase 3', 'epidermal growth factor receptor']",5,0.00021043925495587128,4/5
Mammary gland development pathway - Involution (Stage 4 of 4),5,"['signal transducer and activator of transcription 3', 'BCL2 associated X, apoptosis regulator', 'matrix metallopeptidase 9', 'suppressor of cytokine signaling 3', 'tumor protein p53']",11,0.00028986580245854334,5/11
Extracellular vesicles in the crosstalk of cardiac cells,7,"['superoxide dismutase 1', 'signal transducer and activator of transcription 3', 'toll like receptor 4', 'matrix metallopeptidase 9', 'interleukin 6', 'epidermal growth factor receptor', 'epidermal growth factor']",31,0.00032009805035134765,7/31
IL17 signaling pathway,7,"['signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'Sp1 transcription factor', 'RELA proto-oncogene, NF-kB subunit', 'mitogen-activated protein kinase 3', 'interleukin 17A', 'AKT serine/threonine kinase 1']",33,0.000505949573646889,7/33
Overview of nanoparticle effects,6,"['tumor necrosis factor', 'BCL2 associated X, apoptosis regulator', 'interleukin 6', 'C-X-C motif chemokine ligand 8', 'C-reactive protein', 'prostaglandin-endoperoxide synthase 2']",22,0.0006462826785575842,6/22
Apoptosis,10,"['tumor necrosis factor', 'BCL2 associated X, apoptosis regulator', 'Fas cell surface death receptor', 'RELA proto-oncogene, NF-kB subunit', 'interferon regulatory factor 1', 'TNF receptor superfamily member 10b', 'tumor protein p53', 'TNF receptor superfamily member 1A', 'AKT serine/threonine kinase 1', 'interferon regulatory factor 3']",87,0.0008631396068829763,10/87
Follicle Stimulating Hormone (FSH) signaling pathway,6,"['mitogen-activated protein kinase 1', 'mechanistic target of rapamycin kinase', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'cAMP responsive element binding protein 1', 'AKT serine/threonine kinase 1']",24,0.001134706187112888,6/24
TGF-beta Signaling Pathway,12,"['mitogen-activated protein kinase 1', 'Sp1 transcription factor', 'amyloid beta precursor protein', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'transforming growth factor beta 1', 'tumor protein p53', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'cyclin dependent kinase inhibitor 1A', 'AKT serine/threonine kinase 1', 'ras homolog family member A', 'forkhead box P3']",135,0.0012157793513390056,12/135
Alzheimers Disease,10,"['tumor necrosis factor', 'mitogen-activated protein kinase 1', 'amyloid beta precursor protein', 'Fas cell surface death receptor', 'mitogen-activated protein kinase 3', 'lipoprotein lipase', 'ADAM metallopeptidase domain 17', 'tumor protein p53', 'TNF receptor superfamily member 1A', 'interleukin 1 beta']",92,0.001450482146479035,10/92
Epithelial to mesenchymal transition in colorectal cancer,13,"['phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'mitogen-activated protein kinase 1', 'notch receptor 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'matrix metallopeptidase 9', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'jagged canonical Notch ligand 1', 'transforming growth factor beta 1', 'tumor protein p53', 'matrix metallopeptidase 2', 'AKT serine/threonine kinase 1']",165,0.0017567134042420823,13/165
ESC Pluripotency Pathways,11,"['signal transducer and activator of transcription 3', 'LIF interleukin 6 family cytokine', 'mitogen-activated protein kinase 1', 'mechanistic target of rapamycin kinase', 'Raf-1 proto-oncogene, serine/threonine kinase', 'epidermal growth factor receptor', 'fibroblast growth factor 2', 'epidermal growth factor', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'AKT serine/threonine kinase 1', 'protein tyrosine phosphatase non-receptor type 11']",119,0.002250917911799565,11/119
Regulation of Actin Cytoskeleton,12,"['coagulation factor II, thrombin', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'CRK proto-oncogene, adaptor protein', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'epidermal growth factor receptor', 'fibroblast growth factor 2', 'epidermal growth factor', 'CD14 molecule', 'ras homolog family member A']",153,0.004503869403126255,12/153
"4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression",5,"['mitogen-activated protein kinase 1', 'mechanistic target of rapamycin kinase', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'AKT serine/threonine kinase 1']",18,0.004899532118378446,5/18
Leptin Insulin Overlap,5,"['signal transducer and activator of transcription 3', 'leptin', 'insulin', 'suppressor of cytokine signaling 3', 'AKT serine/threonine kinase 1']",18,0.004899532118378446,5/18
Endochondral Ossification,8,"['vascular endothelial growth factor A', 'matrix metallopeptidase 9', 'signal transducer and activator of transcription 1', 'fibroblast growth factor 2', 'plasminogen activator, tissue type', 'transforming growth factor beta 1', 'parathyroid hormone', 'AKT serine/threonine kinase 1']",66,0.00680370051073161,8/66
Neovascularisation processes,7,"['mitogen-activated protein kinase 1', 'matrix metallopeptidase 9', 'mitogen-activated protein kinase 8', 'mitogen-activated protein kinase 3', 'jagged canonical Notch ligand 1', 'AKT serine/threonine kinase 1', 'C-X-C motif chemokine receptor 4']",48,0.007098836123560908,7/48
Aryl Hydrocarbon Receptor Pathway,7,"['tumor necrosis factor', 'BCL2 associated X, apoptosis regulator', 'epidermal growth factor receptor', 'transforming growth factor beta 1', 'interleukin 2', 'interferon gamma', 'interleukin 1 beta']",48,0.007098836123560908,7/48
Alpha 6 Beta 4 signaling pathway,6,"['mitogen-activated protein kinase 1', 'mechanistic target of rapamycin kinase', 'mitogen-activated protein kinase 3', 'AKT serine/threonine kinase 1', 'ras homolog family member A', 'protein tyrosine phosphatase non-receptor type 11']",33,0.008267589320066727,6/33
Simplified Depiction of MYD88 Distinct Input-Output Pathway,5,"['toll like receptor 5', 'toll like receptor 4', 'MYD88 innate immune signal transduction adaptor', 'toll like receptor 7', 'toll like receptor 8']",20,0.00863428667851584,5/20
Angiopoietin Like Protein 8 Regulatory Pathway,11,"['phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'CRK proto-oncogene, adaptor protein', 'mechanistic target of rapamycin kinase', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'lipoprotein lipase', 'AKT serine/threonine kinase 1', 'Cbl proto-oncogene']",137,0.0087796351665297,11/137
Cardiac Progenitor Differentiation,7,"['notch receptor 1', 'insulin', 'neural cell adhesion molecule 1', 'fibroblast growth factor 2', 'transforming growth factor beta 1', 'troponin I3, cardiac type', 'C-X-C motif chemokine receptor 4']",53,0.013878113770235496,7/53
Transcription factor regulation in adipogenesis,5,"['tumor necrosis factor', 'interleukin 6', 'leptin', 'mitogen-activated protein kinase 8', 'cAMP responsive element binding protein 1']",22,0.01428283241149889,5/22
Apoptosis-related network due to altered Notch3 in ovarian cancer,7,"['tumor necrosis factor', 'mitogen-activated protein kinase 1', 'amyloid beta precursor protein', 'TNF receptor superfamily member 10b', 'suppressor of cytokine signaling 3', 'cyclin dependent kinase inhibitor 1A', 'AKT serine/threonine kinase 1']",54,0.015728341515398547,7/54
Apoptosis Modulation and Signaling,9,"['BCL2 associated X, apoptosis regulator', 'Fas cell surface death receptor', 'mitogen-activated protein kinase 8', 'mitogen-activated protein kinase 3', 'TNF receptor superfamily member 10b', 'tumor protein p53', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'TNF receptor superfamily member 1A', 'MYD88 innate immune signal transduction adaptor']",96,0.015844159353828734,9/96
Peptide GPCRs,8,"['angiotensin II receptor type 1', 'C-C motif chemokine receptor 1', 'C-C motif chemokine receptor 6', 'complement C5a receptor 1', 'C-C motif chemokine receptor 2', 'C-C motif chemokine receptor 5', 'angiotensin II receptor type 2', 'C-X-C motif chemokine receptor 4']",75,0.017647394070351638,8/75
Copper homeostasis,7,"['superoxide dismutase 1', 'Sp1 transcription factor', 'amyloid beta precursor protein', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'ADAM metallopeptidase domain 17', 'tumor protein p53', 'AKT serine/threonine kinase 1']",55,0.017777141682345045,7/55
Amyotrophic lateral sclerosis (ALS),6,"['catalase', 'tumor necrosis factor', 'superoxide dismutase 1', 'BCL2 associated X, apoptosis regulator', 'tumor protein p53', 'TNF receptor superfamily member 1A']",38,0.019262509313352397,6/38
Estrogen Receptor Pathway,4,"['estrogen receptor 1', 'signal transducer and activator of transcription 3', 'Sp1 transcription factor', 'peroxisome proliferator activated receptor alpha']",13,0.027162669542056962,4/13
Osteopontin Signaling,4,"['mitogen-activated protein kinase 1', 'matrix metallopeptidase 9', 'RELA proto-oncogene, NF-kB subunit', 'mitogen-activated protein kinase 3']",13,0.027162669542056962,4/13
Hypothesized Pathways in Pathogenesis of Cardiovascular Disease,5,"['angiotensin II receptor type 1', 'mitogen-activated protein kinase 1', 'serpin family E member 1', 'mitogen-activated protein kinase 8', 'mitogen-activated protein kinase 3']",25,0.02769639555554371,5/25
Ras Signaling,12,"['phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'REL proto-oncogene, NF-kB subunit', 'RELA proto-oncogene, NF-kB subunit', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'epidermal growth factor receptor', 'AKT serine/threonine kinase 1', 'ras homolog family member A', 'protein tyrosine phosphatase non-receptor type 11']",184,0.028768257280516633,12/184
Primary Focal Segmental Glomerulosclerosis FSGS,8,"['cathepsin L', 'toll like receptor 4', 'notch receptor 1', 'CD80 molecule', 'jagged canonical Notch ligand 1', 'transforming growth factor beta 1', 'cyclin dependent kinase inhibitor 1A', 'AKT serine/threonine kinase 1']",81,0.030969009113366468,8/81
Angiogenesis,5,"['mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'matrix metallopeptidase 9', 'fibroblast growth factor 2', 'AKT serine/threonine kinase 1']",26,0.03384098300503154,5/26
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways,11,"['transferrin', 'tumor necrosis factor', 'vascular endothelial growth factor A', 'Sp1 transcription factor', 'early growth response 1', 'interleukin 10', 'interleukin 6', 'tyrosine hydroxylase', 'C-X-C motif chemokine ligand 8', 'cAMP responsive element binding protein 1', 'interleukin 1 beta']",160,0.0372489622808897,11/160
Mammary gland development pathway - Puberty (Stage 2 of 4),4,"['signal transducer and activator of transcription 5A', 'estrogen receptor 1', 'TIMP metallopeptidase inhibitor 1', 'epidermal growth factor']",14,0.037544894694316024,4/14
Androgen receptor signaling pathway,8,"['signal transducer and activator of transcription 3', 'Sp1 transcription factor', 'RELA proto-oncogene, NF-kB subunit', 'epidermal growth factor receptor', 'cAMP responsive element binding protein 1', 'cyclin dependent kinase inhibitor 1A', 'AKT serine/threonine kinase 1', 'ras homolog family member A']",85,0.04384752664846499,8/85
